"observing","describing","accepting","acting","age","bsex"
3.2,2.8,3.3,3.2,40,"male"
2.5,2.6,3.4,3.7,25,"male"
3.2,2.9,3.7,2.9,30,"male"
1.9,3.4,1.1,3.7,43,"male"
3.6,2.8,1.7,3.4,24,"male"
3.7,3.3,2.6,3,54,"female"
4.5,3.5,3.4,3.6,18,"female"
3.4,3,1.4,3.4,59,"female"
3.7,3.4,3.8,2.7,39,"male"
2.1,3,4.3,3,28,"female"
2.7,2.3,2.7,3.1,23,"female"
4.1,3.4,4.2,3.1,46,"male"
3.8,3.3,2,3,46,"male"
4.1,4,4.6,4.2,25,"female"
3.5,2.9,4.2,3.2,22,"female"
3.5,3.1,3.3,2.9,44,"female"
3.1,3.6,2.8,3.5,48,"male"
4.1,2.8,2.6,3,32,"male"
3.5,3,4.4,3.2,26,"female"
2.5,3.4,2.3,3.7,68,"male"
3.3,2.6,3.3,3.3,18,"male"
3.3,2.9,2.7,3.3,33,"male"
4,2.6,1.6,3.4,29,"female"
3.5,3.1,2.2,2.9,31,"male"
3.4,3,1.8,3.6,31,"female"
3.3,3.4,3.3,3.2,43,"male"
2.9,3,1.7,2.8,26,"female"
4.7,3.3,1.4,2.1,49,"male"
2.4,2.8,1.2,3,25,"male"
4.3,3,1.3,3.3,22,"male"
4.3,3.3,2.3,3.2,27,"male"
4.1,2.9,3.8,3.1,21,"female"
2.2,2.8,1.9,3.1,77,"male"
3.8,3.4,2.8,3.8,21,"male"
3.7,3.3,1.8,3.1,25,"female"
3.6,3.5,1.8,2.9,25,"female"
3.2,3,1.1,2.5,39,"male"
3.1,3.1,2.2,3.5,41,"male"
3,2.5,2.6,3.4,49,"male"
3.9,3.5,3.6,3.5,30,"male"
3.2,3.1,2.8,3.3,18,"female"
4.2,3.9,2.3,3.7,39,"female"
3.7,3.3,2.7,3.3,62,"male"
3,3,4.3,3.6,40,"male"
3.6,2.8,1.6,3.6,45,"female"
3.1,2.5,3.1,2.8,37,"female"
3.6,3.5,3.6,3.2,33,"female"
4.4,3.4,2.6,2.7,60,"male"
4.4,3.6,3.2,3.7,30,"male"
3.7,3,2,3.5,40,"female"
3.3,3.3,3.1,2.9,19,"male"
2.1,2.9,3.2,2.8,43,"female"
2.6,3.4,1.3,3.3,36,"female"
3.9,3.1,1.7,3.2,33,"male"
4.5,3.4,2.9,3,32,"male"
3.1,4,3.8,3.5,26,"female"
4.8,3.6,4.6,3.3,29,"male"
3.8,3.6,1.4,2.5,36,"male"
3.1,3,3.7,3,14,"female"
2.4,3.4,2.7,3.6,18,"female"
2.7,3.1,2.9,3.1,19,"male"
3.8,3.6,2.3,3.4,55,"female"
2.2,3,1,3.5,36,"male"
2.6,2.8,3.2,3.5,48,"male"
